"","WT_1","WT_2","DEL_slyA_1","DEL_slyA_2"
"BW25113_RS13870",7.24343746539524,10.1099678717958,10.6577675492905,7.60783599903497
"BW25113_RS13875",18.1085936634881,13.786319825176,9.59199079436145,10.8683371414785
"BW25113_RS13885",6.33800778222083,4.59543994172535,5.32888377464525,9.78150342733068
"BW25113_RS13890",6.33800778222083,3.67635195338028,11.7235443042196,11.9551708556264
"BW25113_RS13895",5.43257809904643,3.67635195338028,2.1315535098581,3.26050114244356
"BW25113_RS13900",15.3923046139649,20.2199357435915,21.315535098581,17.3893394263657
"BW25113_RS13905",5.43257809904643,5.51452793007042,2.1315535098581,3.26050114244356
"BW25113_RS13910",13.5814452476161,12.867231836831,7.46043728450335,9.78150342733068
"BW25113_RS13915",5.43257809904643,0.91908798834507,4.2631070197162,4.34733485659141
"BW25113_RS13920",5.43257809904643,5.51452793007042,5.32888377464525,3.26050114244356
"BW25113_RS13925",24.4466014457089,17.4626717785563,24.5128653633682,22.8235079971049
"BW25113_RS13930",3.62171873269762,8.27179189510563,14.9208745690067,9.78150342733068
"BW25113_RS13935",92.3538276837893,105.695118659683,215.286904495668,266.274259966224
"BW25113_RS13940",78.7723824361732,71.6888630909154,191.839815887229,216.279909115423
"BW25113_RS13945",163.882772654567,146.134990146866,508.375512101157,562.979863928588
"BW25113_RS13955",24.4466014457089,22.0581117202817,25.5786421182972,28.2576765678442
"BW25113_RS13960",11.7705858812673,9.1908798834507,14.9208745690067,5.43416857073927
"BW25113_RS13965",30.7846092279298,13.786319825176,26.6444188732263,23.9103417112528
"BW25113_RS13970",20.8248827130113,30.3299036153873,27.7101956281553,29.344510281992
"BW25113_RS13975",23.5411717625345,34.9253435571127,33.0390794028006,33.6918451385835
"BW25113_RS13980",32.5954685942786,21.1390237319366,36.2364096675877,32.6050114244356
"BW25113_RS13985",108.651561980929,111.209646589753,111.90655926755,127.159544555299
"BW25113_RS13990",28.0683201784065,14.7054078135211,19.1839815887229,18.4761731405135
"BW25113_RS13995",27.1628904952321,34.0062555687676,33.0390794028006,23.9103417112528
"BW25113_RS14005",9.05429683174405,9.1908798834507,15.9866513239358,9.78150342733068
"BW25113_RS14010",11.7705858812673,11.9481438484859,12.7893210591486,6.52100228488712
"BW25113_RS14015",18.1085936634881,11.0290558601408,10.6577675492905,17.3893394263657
"BW25113_RS14020",33.500898277453,27.5726396503521,19.1839815887229,18.4761731405135
"BW25113_RS14025",19.0140233466625,14.7054078135211,17.0524280788648,14.1288382839221
"BW25113_RS14030",70.6235152876036,87.3133588927816,85.262140394324,76.0783599903497
"BW25113_RS14035",302.413514180251,294.108156270422,336.78545455758,349.960455955609
"BW25113_RS14045",5.43257809904643,9.1908798834507,12.7893210591486,16.3025057122178
"BW25113_RS14050",295.170076714856,298.703596212148,276.036179526624,254.319089110598
"BW25113_RS14055",16.2977342971393,13.786319825176,21.315535098581,16.3025057122178
"BW25113_RS14060",16.2977342971393,21.1390237319366,18.1182048337939,18.4761731405135
"BW25113_RS14065",335.914412457704,357.525227466232,171.590057543577,166.285558264622
"BW25113_RS14070",787.723824361732,812.473781697042,381.5480782646,394.520638235671
"BW25113_RS14075",240.844295724392,279.402748456901,141.748308405564,141.288382839221
"BW25113_RS14080",893.659097293138,883.243556799612,455.086674354704,511.898679363639
"BW25113_RS14085",75.1506637034756,72.6079510792605,37.3021864225168,26.0840091395485
"BW25113_RS14090",145.774178991079,163.597661925422,96.9856846985436,90.2071982742718
"BW25113_RS14095",113.178710396801,115.805086531479,60.7492750309559,57.6021868498362
"BW25113_RS14100",47.082343525069,34.0062555687676,20.249758343652,24.9971754254006
"BW25113_RS14105",9.95972651491845,11.9481438484859,14.9208745690067,11.9551708556264
"BW25113_RS14110",9.95972651491845,9.1908798834507,13.8550978140777,13.0420045697742
"BW25113_RS14115",39.8389060596738,41.3589594755281,38.3679631774458,46.7338497083577
"BW25113_RS14120",9.95972651491845,5.51452793007042,10.6577675492905,8.69466971318283
"BW25113_RS14125",16.2977342971393,22.9771997086267,10.6577675492905,15.2156719980699
"BW25113_RS14130",14.4868749307905,13.786319825176,7.46043728450335,2.17366742829571
"BW25113_RS14135",7.24343746539524,9.1908798834507,11.7235443042196,14.1288382839221
"BW25113_RS14140",5.43257809904643,7.35270390676056,11.7235443042196,5.43416857073927
"BW25113_RS14145",2.71628904952321,2.75726396503521,4.2631070197162,4.34733485659141
"BW25113_RS14150",4.52714841587202,3.67635195338028,6.3946605295743,7.60783599903497
"BW25113_RS14155",4.52714841587202,5.51452793007042,10.6577675492905,4.34733485659141
"BW25113_RS14160",15.3923046139649,23.8962876969718,14.9208745690067,9.78150342733068
"BW25113_RS14165",7.24343746539524,2.75726396503521,5.32888377464525,6.52100228488712
"BW25113_RS14170",12.6760155644417,15.6244958018662,19.1839815887229,19.5630068546614
"BW25113_RS14175",8.14886714856964,4.59543994172535,6.3946605295743,5.43416857073927
"BW25113_RS14185",6.33800778222083,1.83817597669014,4.2631070197162,4.34733485659141
"BW25113_RS14190",40.7443357428482,22.0581117202817,13.8550978140777,11.9551708556264
"BW25113_RS14195",105.029843248231,122.238702449894,71.4070425802464,72.8178588479062
"BW25113_RS14200",41.6497654260226,36.7635195338028,12.7893210591486,26.0840091395485
"BW25113_RS14205",166.59906170409,171.869453820528,87.3936939041821,84.7730297035326
"BW25113_RS14210",159.355624238695,136.944110263415,83.1305868844659,74.9915262762019
"BW25113_RS14215",100.502694832359,104.776030671338,69.2754890703883,65.2100228488712
"BW25113_RS14220",8.14886714856964,6.43361591841549,6.3946605295743,5.43416857073927
"BW25113_RS14225",62.4746481390339,44.1162234405634,58.6177215210978,45.6470159942098
"BW25113_RS14235",11.7705858812673,7.35270390676056,12.7893210591486,11.9551708556264
"BW25113_RS14240",10.8651561980929,12.867231836831,15.9866513239358,9.78150342733068
"BW25113_RS14245",8.14886714856964,11.9481438484859,11.7235443042196,24.9971754254006
"BW25113_RS14250",11.7705858812673,10.1099678717958,13.8550978140777,14.1288382839221
"BW25113_RS14255",16.2977342971393,12.867231836831,13.8550978140777,9.78150342733068
"BW25113_RS14260",14.4868749307905,22.0581117202817,15.9866513239358,16.3025057122178
"BW25113_RS14265",362.171873269762,390.612395046655,452.955120844846,442.341321658176
"BW25113_RS14270",336.819842140879,332.709851780915,344.245891842083,298.87927139066
"BW25113_RS14275",40.7443357428482,26.653551662007,41.565293442233,51.0811845649491
"BW25113_RS14280",38.028046693325,35.8444315454577,46.8941772168782,48.9075171366534
"BW25113_RS14285",43.4606247923714,55.1452793007042,59.6834982760268,73.904692562054
"BW25113_RS14290",26.2574608120577,24.8153756853169,28.7759723830844,18.4761731405135
"BW25113_RS14295",37.1226170101506,39.520783498838,46.8941772168782,30.4313439961399
"BW25113_RS14300",15.3923046139649,21.1390237319366,15.9866513239358,17.3893394263657
"BW25113_RS14305",5.43257809904643,1.83817597669014,6.3946605295743,6.52100228488712
"BW25113_RS14310",5.43257809904643,6.43361591841549,3.19733026478715,3.26050114244356
"BW25113_RS14315",9.95972651491845,11.9481438484859,23.4470886084391,18.4761731405135
"BW25113_RS14320",6.33800778222083,8.27179189510563,8.5262140394324,7.60783599903497
"BW25113_RS14325",17.2031639803137,16.5435837902113,13.8550978140777,21.7366742829571
"BW25113_RS14335",4.52714841587202,4.59543994172535,2.1315535098581,0
"BW25113_RS14365",13.5814452476161,13.786319825176,12.7893210591486,7.60783599903497
"BW25113_RS14370",5.43257809904643,5.51452793007042,9.59199079436145,7.60783599903497
"BW25113_RS14375",19.0140233466625,17.4626717785563,14.9208745690067,23.9103417112528
"BW25113_RS14380",21.7303123961857,20.2199357435915,27.7101956281553,16.3025057122178
"BW25113_RS14385",7.24343746539524,7.35270390676056,4.2631070197162,14.1288382839221
"BW25113_RS14390",50.7040622577667,34.9253435571127,27.7101956281553,21.7366742829571
"BW25113_RS14395",9.95972651491845,11.0290558601408,7.46043728450335,8.69466971318283
"BW25113_RS14400",24.4466014457089,18.3817597669014,14.9208745690067,6.52100228488712
"BW25113_RS14405",9.95972651491845,9.1908798834507,12.7893210591486,10.8683371414785
"BW25113_RS14410",10.8651561980929,5.51452793007042,2.1315535098581,6.52100228488712
"BW25113_RS14415",9.95972651491845,12.867231836831,10.6577675492905,11.9551708556264
"BW25113_RS14420",4.52714841587202,23.8962876969718,11.7235443042196,15.2156719980699
"BW25113_RS14425",7.24343746539524,7.35270390676056,5.32888377464525,8.69466971318283
"BW25113_RS14430",7.24343746539524,14.7054078135211,20.249758343652,13.0420045697742
"BW25113_RS14435",14.4868749307905,19.3008477552465,29.8417491380134,23.9103417112528
"BW25113_RS14440",34.4063279606274,21.1390237319366,27.7101956281553,22.8235079971049
"BW25113_RS14450",2.71628904952321,1.83817597669014,11.7235443042196,6.52100228488712
"BW25113_RS14455",998.688940541369,1022.94493102806,1326.89205988667,1409.62332724977
"BW25113_RS14460",249.898592556136,281.240924433591,281.365063301269,299.966105104808
"BW25113_RS14465",33.500898277453,38.6016955104929,38.3679631774458,35.8655125668792
"BW25113_RS14470",12.6760155644417,13.786319825176,9.59199079436145,11.9551708556264
"BW25113_RS14475",18.1085936634881,11.0290558601408,17.0524280788648,11.9551708556264
"BW25113_RS14480",117.705858812673,126.83414239162,94.8541311886855,76.0783599903497
"BW25113_RS14485",24.4466014457089,29.4108156270422,28.7759723830844,31.5181777102877
"BW25113_RS14490",57.9474997231619,47.7925753939436,37.3021864225168,56.5153531356884
"BW25113_RS14495",38.028046693325,40.4398714871831,14.9208745690067,21.7366742829571
"BW25113_RS14500",33.500898277453,24.8153756853169,10.6577675492905,18.4761731405135
"BW25113_RS14505",29.8791795447554,22.9771997086267,9.59199079436145,20.6498405688092
"BW25113_RS14510",10.8651561980929,10.1099678717958,18.1182048337939,18.4761731405135
"BW25113_RS14515",13.5814452476161,9.1908798834507,12.7893210591486,14.1288382839221
"BW25113_RS14520",3.62171873269762,1.83817597669014,10.6577675492905,4.34733485659141
"BW25113_RS14530",6.33800778222083,10.1099678717958,9.59199079436145,14.1288382839221
"BW25113_RS14535",24.4466014457089,23.8962876969718,23.4470886084391,17.3893394263657
"BW25113_RS14540",253.520311288833,261.940076678345,181.182048337939,197.803735974909
"BW25113_RS14545",152.1121867733,146.134990146866,136.419424630918,193.456401118318
"BW25113_RS14550",61.5692184558595,52.388015335669,58.6177215210978,52.168018279097
