"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"BW25113_RS17305",1570.69670864227,0.292357331305955,0.0598166923507355,4.88755428989147,1.0209634643417e-06,1.39970797530717e-05
"BW25113_RS14950",82.5499637659961,-1.29295047034937,0.264902469228592,-4.88085473160932,1.05627030364739e-06,1.43882974054532e-05
"BW25113_RS17155",690.294323718828,0.419497975123684,0.087017326872624,4.82085568702593,1.42943740899548e-06,1.93474808542382e-05
"BW25113_RS17095",703.887191635017,0.42719514685223,0.0890462694434372,4.7974513645806,1.60697210919254e-06,2.14768285033594e-05
"BW25113_RS20365",82.8983238903732,-1.25473861299913,0.261500692943701,-4.79822289904701,1.60079577300279e-06,2.14768285033594e-05
"BW25113_RS14205",127.658809783083,-0.975044905303792,0.203341318542524,-4.79511450153149,1.62581939053972e-06,2.15929137806056e-05
"BW25113_RS21685",242.879131968134,0.693246368623597,0.144766099839781,4.78873416767352,1.67836636221865e-06,2.21523510541282e-05
"BW25113_RS05590",22.3416076388382,2.70658357518853,0.566891667480057,4.7744282205096,1.80218546058298e-06,2.36397784181409e-05
"BW25113_RS15210",175.029959399083,0.833861206348744,0.174807527564964,4.77016761214048,1.84072689702094e-06,2.39972064795675e-05
"BW25113_RS10910",999.876038998099,-0.351488571861328,0.0737559990862219,-4.76555908964684,1.8833069232762e-06,2.44026049509874e-05
"BW25113_RS13465",264.139995680788,0.664182373155622,0.139487746909493,4.76158220253265,1.92081027209093e-06,2.47377080496559e-05
"BW25113_RS21150",95.3179870668859,-1.13161896793801,0.237772693662275,-4.75924695350143,1.94316570080319e-06,2.48748621337757e-05
"BW25113_RS22675",42.0976468087171,1.71909492207911,0.366493234715028,4.69065936078141,2.72326027655886e-06,3.46522639981292e-05
"BW25113_RS17150",1518.30471561637,0.287126463542626,0.0613675846038767,4.67879688268663,2.88563122899522e-06,3.64997997715169e-05
"BW25113_RS19495",240.950709393669,-0.68194318678467,0.145999536812898,-4.67085856346651,2.9994341749555e-06,3.77147788271032e-05
"BW25113_RS18405",27.1233325854361,2.22006165592504,0.479477696531036,4.6301666834285,3.65371493035789e-06,4.56714366294737e-05
"BW25113_RS20955",490.835803561684,0.47125637275489,0.102034682843991,4.61859006780502,3.86356273356167e-06,4.80121099930909e-05
"BW25113_RS17080",397.29411413311,0.519215543461223,0.11329164785156,4.58299930584046,4.58353562412328e-06,5.66279837282673e-05
"BW25113_RS17920",392.595306502801,-0.521927853467229,0.11519435101422,-4.53084590409126,5.87479794538596e-06,7.21615354563305e-05
"BW25113_RS16645",187.38072767874,0.759657161302255,0.168130764726805,4.51825198402339,6.23522531694162e-06,7.61485850488559e-05
"BW25113_RS06240",35.7067282501162,1.79594047536812,0.398576592847991,4.5058854624036,6.60967349917159e-06,7.98339864483571e-05
"BW25113_RS14975",24.8012017036872,-2.36255549622769,0.524335765989253,-4.50580648789103,6.61213252466393e-06,7.98339864483571e-05
"BW25113_RS16705",38.5494850120114,-1.73944906511784,0.393369987375917,-4.42191606106332,9.78294641135665e-06,0.00011745062781996
"BW25113_RS05210",159.76051366946,-0.808134461734349,0.182957883386194,-4.41705187432952,1.00056223978128e-05,0.000118798160424763
"BW25113_RS17710",187.965795412078,-0.728009979341199,0.164819182449882,-4.41702214827191,1.00069979840154e-05,0.000118798160424763
"BW25113_RS10930",4122.34362877749,-0.164430480393893,0.0373982874976544,-4.39673823043919,1.09889739293143e-05,0.000129730942221071
"BW25113_RS16180",50.1186308733164,-1.48570731982893,0.339379454026815,-4.37771733733634,1.1992874702659e-05,0.000140800324547792
"BW25113_RS19395",196.840558636281,0.699877265774232,0.160774556533694,4.35315936093133,1.34189531623853e-05,0.000156677337747631
"BW25113_RS21695",212.318586214603,0.665391785391744,0.153067903656704,4.34703663861539,1.37989176207977e-05,0.000160233333028388
