Geneid	WT_1	WT_2	DEL_slyA_1	DEL_slyA_2
BW25113_RS01700	16	18	18	11
BW25113_RS01705	11	16	4	9
BW25113_RS01710	10	22	6	10
BW25113_RS01715	14	16	6	18
BW25113_RS01720	19	16	12	14
BW25113_RS01725	21	13	15	22
BW25113_RS01730	31	25	24	31
BW25113_RS01735	10	9	13	11
BW25113_RS01740	6	8	6	2
BW25113_RS01745	3	1	5	4
BW25113_RS01750	14	14	10	12
BW25113_RS01755	6	5	2	8
BW25113_RS01760	12	4	10	5
BW25113_RS01775	220	213	207	221
BW25113_RS01780	27	39	24	13
BW25113_RS01785	13	19	16	15
BW25113_RS01790	13	15	8	13
BW25113_RS01800	5	3	1	3
BW25113_RS01810	36	35	27	23
BW25113_RS01815	25	15	22	27
BW25113_RS01820	20	22	15	26
BW25113_RS01825	18	23	17	9
BW25113_RS01830	18	23	21	23
BW25113_RS01835	51	39	77	69
BW25113_RS01840	114	108	114	118
BW25113_RS01845	37	24	42	32
BW25113_RS01850	9	8	4	10
BW25113_RS01855	0	0	0	0
BW25113_RS01870	0	1	1	0
BW25113_RS01875	0	3	2	0
BW25113_RS26490	0	0	0	0
BW25113_RS01880	0	0	0	0
BW25113_RS01885	13	13	7	12
BW25113_RS01890	6	8	10	10
BW25113_RS01895	3	2	4	4
BW25113_RS01900	9	5	8	5
BW25113_RS01905	46	59	60	53
BW25113_RS01920	1	1	1	3
BW25113_RS01935	6	4	7	3
BW25113_RS01940	23	21	28	23
BW25113_RS01950	29	30	24	27
BW25113_RS01955	23	24	23	30
BW25113_RS01960	10	7	11	3
BW25113_RS25465	8	3	7	2
BW25113_RS01970	43	50	37	34
BW25113_RS25915	0	2	1	1
BW25113_RS01980	7	12	13	6
BW25113_RS01985	32	25	17	19
BW25113_RS01990	7	6	3	7
BW25113_RS01995	11	13	9	12
BW25113_RS02000	17	17	13	23
BW25113_RS02005	25	18	24	20
BW25113_RS02010	64	68	61	64
BW25113_RS02015	25	17	29	25
BW25113_RS02025	19	17	28	18
BW25113_RS02030	18	15	24	23
BW25113_RS25470	4	1	5	3
BW25113_RS02040	17	23	17	22
BW25113_RS02045	33	28	27	31
BW25113_RS02050	18	11	17	17
BW25113_RS02055	49	66	47	47
BW25113_RS02060	27	24	19	20
BW25113_RS02065	16	18	19	13
BW25113_RS02070	26	22	25	14
BW25113_RS02075	47	49	51	40
